gid;name;st_astext
132;Parish Hall;POINT(-6.59553184999999 53.38310745)
133;unknown106;POINT(-6.59541839999997 53.3840311000001)
134;unknown107;POINT(-6.59558015 53.38397775)
135;unknown108;POINT(-6.59618720000001 53.3837147)
136;unknown109;POINT(-6.59595254999997 53.38376625)
137;unknown110;POINT(-6.595845 53.38380355)
138;unknown111;POINT(-6.5970567 53.3846657)
139;unknown112;POINT(-6.59711269999999 53.3848088000001)
140;unknown113;POINT(-6.597517 53.38511735)
141;unknown114;POINT(-6.59573185 53.3835329)
142;unknown115;POINT(-6.59525565 53.38370035)
